hfhudcode,id,cfname,updateddate,addeddate,reportdate,gown,gloves,head_cover,goggles,coverall,shoe_cover,face_shield,surgmask,n95mask,region,region_psgc,province,province_psgc,city_mun,city_mun_psgc,north_coord,east_coord
DOH000000000000615,2747,LAS PI?AS GENERAL HOSPITAL & SATELLITE TRAUMA CENTER,2020-05-01 12:35:22,2020-05-01 12:35:22,2020-05-01,1198,2493,2498,1193,3684,740,2165,13887,2880,NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, FOURTH DISTRICT (Not a Province)",PH137600000,CITY OF LAS PINAS,PH137601000,14.4717741,120.9740679
DOH000000000000615,4621,LAS PI?AS GENERAL HOSPITAL & SATELLITE TRAUMA CENTER,2020-05-08 15:36:07,2020-05-08 15:36:07,2020-05-08,1317,9474,2600,2559,3864,100,2165,1800,2527,NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, FOURTH DISTRICT (Not a Province)",PH137600000,CITY OF LAS PINAS,PH137601000,14.4717741,120.9740679
DOH000000000000615,6155,LAS PI?AS GENERAL HOSPITAL & SATELLITE TRAUMA CENTER,2020-05-15 14:45:08,2020-05-15 14:45:08,2020-05-15,379,418700,2100,3393,3268,3500,2543,24571,860,NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, FOURTH DISTRICT (Not a Province)",PH137600000,CITY OF LAS PINAS,PH137601000,14.4717741,120.9740679
DOH000000000000615,7845,LAS PI?AS GENERAL HOSPITAL & SATELLITE TRAUMA CENTER,2020-05-22 15:09:24,2020-05-22 15:09:24,2020-05-22,2680,7400,6100,3200,4045,2000,5100,26800,2870,NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, FOURTH DISTRICT (Not a Province)",PH137600000,CITY OF LAS PINAS,PH137601000,14.4717741,120.9740679
DOH000000000000616,1530,"LA VI?A GENERAL HOSPITAL, INC.",2020-04-24 14:51:06,2020-04-24 14:51:06,2020-04-24,30,200,30,30,40,0,50,30,0,REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,CITY OF VALENCIA,PH101321000,7.90766,125.0925064
DOH000000000000616,2795,"LA VI?A GENERAL HOSPITAL, INC.",2020-05-01 13:11:55,2020-05-01 13:11:55,2020-05-01,5,300,30,30,40,0,50,0,0,REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,CITY OF VALENCIA,PH101321000,7.90766,125.0925064
DOH000000000000616,3587,"LA VI?A GENERAL HOSPITAL, INC.",2020-05-08 7:19:47,2020-05-08 7:19:47,2020-05-08,20,300,50,50,70,50,100,50,0,REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,CITY OF VALENCIA,PH101321000,7.90766,125.0925064
DOH000000000000616,5968,"LA VI?A GENERAL HOSPITAL, INC.",2020-05-15 13:09:39,2020-05-15 13:09:39,2020-05-15,20,400,30,60,30,50,90,50,0,REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,CITY OF VALENCIA,PH101321000,7.90766,125.0925064
DOH000000000000616,6870,"LA VI?A GENERAL HOSPITAL, INC.",2020-05-22 7:38:26,2020-05-22 7:38:26,2020-05-22,30,1000,40,90,60,40,90,20,0,REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,CITY OF VALENCIA,PH101321000,7.90766,125.0925064
DOH000000000000618,1367,LEYTE PROVINCIAL HOSPITAL,2020-04-24 13:21:19,2020-04-24 13:21:19,2020-04-24,0,200,100,3,20,0,50,100,30,REGION VIII (EASTERN VISAYAS),PH080000000,LEYTE,PH083700000,PALO,PH083739000,11.180773,125.005639
DOH000000000000618,2401,LEYTE PROVINCIAL HOSPITAL,2020-05-01 9:24:05,2020-05-01 9:24:05,2020-05-01,0,200,100,10,20,0,50,100,20,REGION VIII (EASTERN VISAYAS),PH080000000,LEYTE,PH083700000,PALO,PH083739000,11.180773,125.005639
DOH000000000000618,4158,LEYTE PROVINCIAL HOSPITAL,2020-05-08 11:15:44,2020-05-08 11:15:44,2020-05-08,0,200,100,10,20,0,50,100,200,REGION VIII (EASTERN VISAYAS),PH080000000,LEYTE,PH083700000,PALO,PH083739000,11.180773,125.005639
DOH000000000000618,6064,LEYTE PROVINCIAL HOSPITAL,2020-05-15 13:59:38,2020-05-15 13:59:38,2020-05-15,10,200,100,10,20,20,50,100,200,REGION VIII (EASTERN VISAYAS),PH080000000,LEYTE,PH083700000,PALO,PH083739000,11.180773,125.005639
DOH000000000000618,7263,LEYTE PROVINCIAL HOSPITAL,2020-05-22 9:56:46,2020-05-22 9:56:46,2020-05-22,12,600,342,4,27,11,243,42,143,REGION VIII (EASTERN VISAYAS),PH080000000,LEYTE,PH083700000,PALO,PH083739000,11.180773,125.005639
DOH000000000000619,1106,MATIAS CLINIC AND HOSPITAL,2020-04-24 10:28:36,2020-04-24 10:28:36,2020-04-24,15,200,155,25,15,250,15,100,55,REGION XII (SOCCSKSA RGEN),PH120000000,SULTAN KUDARAT,PH126500000,ISULAN (Capital),PH126504000,6.6280298,124.6127472
DOH000000000000619,2391,MATIAS CLINIC AND HOSPITAL,2020-05-01 9:20:53,2020-05-01 9:20:53,2020-05-01,15,125,115,15,15,225,15,55,55,REGION XII (SOCCSKSA RGEN),PH120000000,SULTAN KUDARAT,PH126500000,ISULAN (Capital),PH126504000,6.6280298,124.6127472
DOH000000000000619,5199,MATIAS CLINIC AND HOSPITAL,2020-05-15 7:32:28,2020-05-15 7:32:28,2020-05-15,15,150,150,15,15,150,15,150,55,REGION XII (SOCCSKSA RGEN),PH120000000,SULTAN KUDARAT,PH126500000,ISULAN (Capital),PH126504000,6.6280298,124.6127472
DOH000000000000619,6848,MATIAS CLINIC AND HOSPITAL,2020-05-22 7:25:05,2020-05-22 7:25:05,2020-05-22,15,135,130,15,15,120,15,130,55,REGION XII (SOCCSKSA RGEN),PH120000000,SULTAN KUDARAT,PH126500000,ISULAN (Capital),PH126504000,6.6280298,124.6127472
DOH000000000000621,2945,LINGIG COMMUNITY HOSPITAL,2020-05-01 14:40:43,2020-05-01 14:40:43,2020-05-01,9,50,20,2,0,0,20,10,8,REGION XIII (CARAGA),PH160000000,SURIGAO DEL SUR,PH166800000,LINGIG,PH166812000,8.036283,126.412007
DOH000000000000621,3988,LINGIG COMMUNITY HOSPITAL,2020-05-08 10:00:20,2020-05-08 10:00:20,2020-05-08,2,50,20,2,1,0,20,20,10,REGION XIII (CARAGA),PH160000000,SURIGAO DEL SUR,PH166800000,LINGIG,PH166812000,8.036283,126.412007
DOH000000000000621,620,LINGIG COMMUNITY HOSPITAL,2020-04-18 8:49:51,2020-04-18 8:49:51,2020-04-18,1,10,10,2,0,0,20,10,20,REGION XIII (CARAGA),PH160000000,SURIGAO DEL SUR,PH166800000,LINGIG,PH166812000,8.036283,126.412007
DOH000000000000621,6495,LINGIG COMMUNITY HOSPITAL,2020-05-15 19:11:20,2020-05-15 19:11:20,2020-05-15,10,50,50,10,5,0,50,30,20,REGION XIII (CARAGA),PH160000000,SURIGAO DEL SUR,PH166800000,LINGIG,PH166812000,8.036283,126.412007
DOH000000000000621,7487,LINGIG COMMUNITY HOSPITAL,2020-05-22 11:40:12,2020-05-22 11:40:12,2020-05-22,10,500,50,18,45,10,100,800,75,REGION XIII (CARAGA),PH160000000,SURIGAO DEL SUR,PH166800000,LINGIG,PH166812000,8.036283,126.412007
DOH000000000000621,909,LINGIG COMMUNITY HOSPITAL,2020-04-24 9:01:11,2020-04-24 9:01:11,2020-04-24,2,50,30,1,0,0,20,10,5,REGION XIII (CARAGA),PH160000000,SURIGAO DEL SUR,PH166800000,LINGIG,PH166812000,8.036283,126.412007
DOH000000000000622,5062,LOBO MUNICIPAL HOSPITAL,2020-05-10 8:47:45,2020-05-10 8:47:45,2020-05-10,25,1000,50,50,50,50,100,1000,50,REGION IV-A (CALABAR ZON),PH040000000,BATANGAS,PH041000000,LOBO,PH041015000,13.642697,121.202501
DOH000000000000622,6740,LOBO MUNICIPAL HOSPITAL,2020-05-17 17:03:51,2020-05-17 17:03:51,2020-05-17,25,1000,50,50,50,50,100,1000,50,REGION IV-A (CALABAR ZON),PH040000000,BATANGAS,PH041000000,LOBO,PH041015000,13.642697,121.202501
DOH000000000000623,6774,MAGSAYSAY MEMORIAL DISTRICT HOSPITAL,2020-05-22 6:01:29,2020-05-22 6:01:29,2020-05-22,50,50,130,115,690,130,0,1250,0,REGION IV-A (CALABAR ZON),PH040000000,QUEZON,PH045600000,LOPEZ,PH045622000,13.88617,122.263863
DOH000000000000624,1928,LOPEZ SAINT JUDE GENERAL HOSPITAL CORP.,2020-04-25 10:38:12,2020-04-25 10:38:12,2020-04-25,30,2400,200,63,210,156,171,100,30,REGION IV-A (CALABAR ZON),PH040000000,QUEZON,PH045600000,LOPEZ,PH045622000,13.887802,122.268047
DOH000000000000624,3362,LOPEZ SAINT JUDE GENERAL HOSPITAL CORP.,2020-05-02 9:04:35,2020-05-02 9:04:35,2020-05-02,28,1000,150,63,150,150,200,1000,150,REGION IV-A (CALABAR ZON),PH040000000,QUEZON,PH045600000,LOPEZ,PH045622000,13.887802,122.268047
DOH000000000000624,4868,LOPEZ SAINT JUDE GENERAL HOSPITAL CORP.,2020-05-08 19:14:23,2020-05-08 19:14:23,2020-05-08,51,2000,150,61,158,150,230,800,145,REGION IV-A (CALABAR ZON),PH040000000,QUEZON,PH045600000,LOPEZ,PH045622000,13.887802,122.268047
DOH000000000000624,6532,LOPEZ SAINT JUDE GENERAL HOSPITAL CORP.,2020-05-16 6:11:49,2020-05-16 6:11:49,2020-05-16,71,1800,140,61,180,140,215,700,130,REGION IV-A (CALABAR ZON),PH040000000,QUEZON,PH045600000,LOPEZ,PH045622000,13.887802,122.268047
DOH000000000000624,8091,LOPEZ SAINT JUDE GENERAL HOSPITAL CORP.,2020-05-22 17:46:24,2020-05-22 17:46:24,2020-05-22,65,1500,120,61,175,160,200,500,125,REGION IV-A (CALABAR ZON),PH040000000,QUEZON,PH045600000,LOPEZ,PH045622000,13.887802,122.268047
DOH000000000000625,2341,LORENZO D. ZAYCO DISTRICT HOSPITAL,2020-05-01 9:03:10,2020-05-01 9:03:10,2020-05-01,170,650,2400,222,215,215,184,700,267,REGION VI (WESTERN VISAYAS),PH060000000,NEGROS OCCIDENTAL,PH064500000,CITY OF KABANKALAN,PH064515000,10.01021,122.8201904
DOH000000000000625,3732,LORENZO D. ZAYCO DISTRICT HOSPITAL,2020-05-08 8:32:26,2020-05-08 8:32:26,2020-05-08,160,750,2400,250,250,250,184,600,302,REGION VI (WESTERN VISAYAS),PH060000000,NEGROS OCCIDENTAL,PH064500000,CITY OF KABANKALAN,PH064515000,10.01021,122.8201904
DOH000000000000625,5339,LORENZO D. ZAYCO DISTRICT HOSPITAL,2020-05-15 8:30:48,2020-05-15 8:30:48,2020-05-15,140,500,2400,234,234,234,184,550,286,REGION VI (WESTERN VISAYAS),PH060000000,NEGROS OCCIDENTAL,PH064500000,CITY OF KABANKALAN,PH064515000,10.01021,122.8201904
DOH000000000000625,7174,LORENZO D. ZAYCO DISTRICT HOSPITAL,2020-05-22 9:20:26,2020-05-22 9:20:26,2020-05-22,1564,2500,2740,1240,1240,1240,184,1450,1292,REGION VI (WESTERN VISAYAS),PH060000000,NEGROS OCCIDENTAL,PH064500000,CITY OF KABANKALAN,PH064515000,10.01021,122.8201904
DOH000000000000625,976,LORENZO D. ZAYCO DISTRICT HOSPITAL,2020-04-24 9:26:09,2020-04-24 9:26:09,2020-04-24,190,600,2500,245,245,245,199,1050,52,REGION VI (WESTERN VISAYAS),PH060000000,NEGROS OCCIDENTAL,PH064500000,CITY OF KABANKALAN,PH064515000,10.01021,122.8201904
DOH000000000000626,5077,LUCBAN MMG HOSPITAL,2020-05-10 10:29:47,2020-05-10 10:29:47,2020-05-10,30,200,50,0,23,0,30,200,0,REGION IV-A (CALABAR ZON),PH040000000,QUEZON,PH045600000,LUCBAN,PH045623000,14.106419,121.56885
DOH000000000000626,6691,LUCBAN MMG HOSPITAL,2020-05-17 8:16:30,2020-05-17 8:16:30,2020-05-17,100,3000,2000,3,30,100,120,250,10,REGION IV-A (CALABAR ZON),PH040000000,QUEZON,PH045600000,LUCBAN,PH045623000,14.106419,121.56885
DOH000000000000629,2753,DOMINGO B. FLORES DISTRICT HOSPITAL,2020-05-01 12:38:42,2020-05-01 12:38:42,2020-05-01,25,500,40,50,35,20,35,400,3,REGION III (CENTRAL LUZON),PH030000000,PAMPANGA,PH035400000,MACABEBE,PH035410000,14.894057,120.714479
DOH000000000000629,4891,DOMINGO B. FLORES DISTRICT HOSPITAL,2020-05-08 21:54:08,2020-05-08 21:54:08,2020-05-08,20,400,50,40,30,15,30,500,10,REGION III (CENTRAL LUZON),PH030000000,PAMPANGA,PH035400000,MACABEBE,PH035410000,14.894057,120.714479
DOH000000000000629,6553,DOMINGO B. FLORES DISTRICT HOSPITAL,2020-05-16 8:28:10,2020-05-16 8:28:10,2020-05-16,30,500,50,40,40,50,30,1000,5,REGION III (CENTRAL LUZON),PH030000000,PAMPANGA,PH035400000,MACABEBE,PH035410000,14.894057,120.714479
DOH000000000000630,1327,MADONNA AND CHILD HOSPITAL,2020-04-24 12:49:21,2020-04-24 12:49:21,2020-04-24,8,7600,700,0,0,109,240,2019,43,REGION X (NORTHERN MINDANAO),PH100000000,MISAMIS ORIENTAL,PH104300000,CAGAYAN DE ORO CITY (Capital),PH104305000,8.4777803,124.6313095
DOH000000000000630,2722,MADONNA AND CHILD HOSPITAL,2020-05-01 12:09:45,2020-05-01 12:09:45,2020-05-01,0,1790,3058,1,0,0,53,1246,30,REGION X (NORTHERN MINDANAO),PH100000000,MISAMIS ORIENTAL,PH104300000,CAGAYAN DE ORO CITY (Capital),PH104305000,8.4777803,124.6313095
DOH000000000000630,297,MADONNA AND CHILD HOSPITAL,2020-04-17 14:15:15,2020-04-17 14:15:15,2020-04-17,76,8200,918,83,75,0,240,3024,58,REGION X (NORTHERN MINDANAO),PH100000000,MISAMIS ORIENTAL,PH104300000,CAGAYAN DE ORO CITY (Capital),PH104305000,8.4777803,124.6313095
DOH000000000000630,4257,MADONNA AND CHILD HOSPITAL,2020-05-08 12:07:59,2020-05-08 12:07:59,2020-05-08,0,8000,2200,1,0,100,101,2500,417,REGION X (NORTHERN MINDANAO),PH100000000,MISAMIS ORIENTAL,PH104300000,CAGAYAN DE ORO CITY (Capital),PH104305000,8.4777803,124.6313095
DOH000000000000630,6100,MADONNA AND CHILD HOSPITAL,2020-05-15 14:20:15,2020-05-15 14:20:15,2020-05-15,0,3900,1747,1,0,100,96,7000,368,REGION X (NORTHERN MINDANAO),PH100000000,MISAMIS ORIENTAL,PH104300000,CAGAYAN DE ORO CITY (Capital),PH104305000,8.4777803,124.6313095
DOH000000000000630,7553,MADONNA AND CHILD HOSPITAL,2020-05-22 12:20:43,2020-05-22 12:20:43,2020-05-22,0,0,1017,1,238,100,93,6000,346,REGION X (NORTHERN MINDANAO),PH100000000,MISAMIS ORIENTAL,PH104300000,CAGAYAN DE ORO CITY (Capital),PH104305000,8.4777803,124.6313095
DOH000000000000632,3062,MAGUINDANAO PROVINCIAL HOSPITAL,2020-05-01 15:39:00,2020-05-01 15:39:00,2020-05-01,40,40,400,2,400,40,10,500,2,BARMM,PH150000000,MAGUINDANAO,PH153800000,DATU HOFFER AMPATUAN,PH153835000,,
DOH000000000000633,1896,MAHAL NA VIRGEN MARIA SANTO ROSARIO DISTRICT HOSPITAL,2020-04-25 0:28:40,2020-04-25 0:28:40,2020-04-25,10,50,55,10,7,75,18,50,8,REGION IV-A (CALABAR ZON),PH040000000,BATANGAS,PH041000000,ROSARIO,PH041021000,13.849812,121.200633
DOH000000000000633,3458,MAHAL NA VIRGEN MARIA SANTO ROSARIO DISTRICT HOSPITAL,2020-05-02 20:55:30,2020-05-02 20:55:30,2020-05-02,10,50,25,10,10,50,25,40,5,REGION IV-A (CALABAR ZON),PH040000000,BATANGAS,PH041000000,ROSARIO,PH041021000,13.849812,121.200633
DOH000000000000633,4988,MAHAL NA VIRGEN MARIA SANTO ROSARIO DISTRICT HOSPITAL,2020-05-09 12:11:51,2020-05-09 12:11:51,2020-05-09,3,25,30,10,5,30,10,23,3,REGION IV-A (CALABAR ZON),PH040000000,BATANGAS,PH041000000,ROSARIO,PH041021000,13.849812,121.200633
DOH000000000000633,6679,MAHAL NA VIRGEN MARIA SANTO ROSARIO DISTRICT HOSPITAL,2020-05-17 7:37:00,2020-05-17 7:37:00,2020-05-17,3,20,17,10,5,20,10,23,5,REGION IV-A (CALABAR ZON),PH040000000,BATANGAS,PH041000000,ROSARIO,PH041021000,13.849812,121.200633
DOH000000000000633,8176,MAHAL NA VIRGEN MARIA SANTO ROSARIO DISTRICT HOSPITAL,2020-05-23 7:09:09,2020-05-23 7:09:09,2020-05-23,3,50,15,10,5,20,10,37,3,REGION IV-A (CALABAR ZON),PH040000000,BATANGAS,PH041000000,ROSARIO,PH041021000,13.849812,121.200633
DOH000000000000635,1361,LAGUNA PROVINCIAL HOSPITAL - MAJAYJAY MEDICARE HOSPITAL,2020-04-24 13:16:43,2020-04-24 13:16:43,2020-04-24,80,2000,46,0,186,46,250,1100,0,REGION IV-A (CALABAR ZON),PH040000000,LAGUNA,PH043400000,MAJAYJAY,PH043416000,14.1516301,121.4597379
DOH000000000000635,3291,LAGUNA PROVINCIAL HOSPITAL - MAJAYJAY MEDICARE HOSPITAL,2020-05-01 18:29:23,2020-05-01 18:29:23,2020-05-01,80,1800,50,0,247,50,259,1350,100,REGION IV-A (CALABAR ZON),PH040000000,LAGUNA,PH043400000,MAJAYJAY,PH043416000,14.1516301,121.4597379
DOH000000000000635,4438,LAGUNA PROVINCIAL HOSPITAL - MAJAYJAY MEDICARE HOSPITAL,2020-05-08 13:59:00,2020-05-08 13:59:00,2020-05-08,34,11100,100,37,115,100,267,10000,70,REGION IV-A (CALABAR ZON),PH040000000,LAGUNA,PH043400000,MAJAYJAY,PH043416000,14.1516301,121.4597379
DOH000000000000635,5353,LAGUNA PROVINCIAL HOSPITAL - MAJAYJAY MEDICARE HOSPITAL,2020-05-15 8:34:06,2020-05-15 8:34:06,2020-05-15,99,5250,20,37,113,40,260,9650,70,REGION IV-A (CALABAR ZON),PH040000000,LAGUNA,PH043400000,MAJAYJAY,PH043416000,14.1516301,121.4597379
DOH000000000000635,7126,LAGUNA PROVINCIAL HOSPITAL - MAJAYJAY MEDICARE HOSPITAL,2020-05-22 9:00:57,2020-05-22 9:00:57,2020-05-22,670,16500,265,1000,103,525,255,11400,500,REGION IV-A (CALABAR ZON),PH040000000,LAGUNA,PH043400000,MAJAYJAY,PH043416000,14.1516301,121.4597379
DOH000000000000637,1831,MAKATI MEDICAL CENTER,2020-04-24 17:58:49,2020-04-24 17:58:49,2020-04-24,6440,1167800,111166,16792,30153,63285,19766,398900,2100,NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, FOURTH DISTRICT (Not a Province)",PH137600000,CITY OF MAKATI,PH137602000,14.55938,121.014535
DOH000000000000637,3170,MAKATI MEDICAL CENTER,2020-05-01 16:23:37,2020-05-01 16:23:37,2020-05-01,2266,1006300,103754,16507,29558,55244,21935,373200,2520,NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, FOURTH DISTRICT (Not a Province)",PH137600000,CITY OF MAKATI,PH137602000,14.55938,121.014535
DOH000000000000637,4712,MAKATI MEDICAL CENTER,2020-05-08 16:14:53,2020-05-08 16:14:53,2020-05-08,277,10007800,97550,16761,29456,49461,19622,342750,1760,NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, FOURTH DISTRICT (Not a Province)",PH137600000,CITY OF MAKATI,PH137602000,14.55938,121.014535
DOH000000000000637,6455,MAKATI MEDICAL CENTER,2020-05-15 17:43:04,2020-05-15 17:43:04,2020-05-15,1320,1110000,85810,17088,35000,41033,28499,6557,980,NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, FOURTH DISTRICT (Not a Province)",PH137600000,CITY OF MAKATI,PH137602000,14.55938,121.014535
DOH000000000000637,700,MAKATI MEDICAL CENTER,2020-04-19 16:06:30,2020-04-19 16:06:30,2020-04-19,6558,1229500,82882,15878,28993,70731,7350,342850,3100,NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, FOURTH DISTRICT (Not a Province)",PH137600000,CITY OF MAKATI,PH137602000,14.55938,121.014535
DOH000000000000637,7986,MAKATI MEDICAL CENTER,2020-05-22 16:24:46,2020-05-22 16:24:46,2020-05-22,1004,985600,73390,15968,33260,33663,26663,288200,1960,NATIONAL CAPITAL REGION (NCR),PH130000000,"NCR, FOURTH DISTRICT (Not a Province)",PH137600000,CITY OF MAKATI,PH137602000,14.55938,121.014535
DOH000000000000639,1541,"MAKILALA MEDICAL SPECIALIST HOSPITAL, INC.",2020-04-24 14:56:28,2020-04-24 14:56:28,2020-04-24,15,8000,500,2,8,2,20,200,0,REGION XII (SOCCSKSA RGEN),PH120000000,COTABATO (NORTH COTABATO),PH124700000,MAKILALA,PH124707000,6.96313,125.0858231
DOH000000000000639,3148,"MAKILALA MEDICAL SPECIALIST HOSPITAL, INC.",2020-05-01 16:12:58,2020-05-01 16:12:58,2020-05-01,15,7500,400,2,8,2,30,100,0,REGION XII (SOCCSKSA RGEN),PH120000000,COTABATO (NORTH COTABATO),PH124700000,MAKILALA,PH124707000,6.96313,125.0858231
DOH000000000000639,4559,"MAKILALA MEDICAL SPECIALIST HOSPITAL, INC.",2020-05-08 15:07:55,2020-05-08 15:07:55,2020-05-08,20,500,900,2,8,2,30,650,0,REGION XII (SOCCSKSA RGEN),PH120000000,COTABATO (NORTH COTABATO),PH124700000,MAKILALA,PH124707000,6.96313,125.0858231
DOH000000000000639,5715,"MAKILALA MEDICAL SPECIALIST HOSPITAL, INC.",2020-05-15 10:45:29,2020-05-15 10:45:29,2020-05-15,30,600,800,2,8,2,40,550,0,REGION XII (SOCCSKSA RGEN),PH120000000,COTABATO (NORTH COTABATO),PH124700000,MAKILALA,PH124707000,6.96313,125.0858231
DOH000000000000639,7850,"MAKILALA MEDICAL SPECIALIST HOSPITAL, INC.",2020-05-22 15:10:39,2020-05-22 15:10:39,2020-05-22,30,500,500,2,8,2,40,700,30,REGION XII (SOCCSKSA RGEN),PH120000000,COTABATO (NORTH COTABATO),PH124700000,MAKILALA,PH124707000,6.96313,125.0858231
DOH000000000000640,1260,MALAY MUNICIPAL HOSPITAL,2020-04-24 11:57:36,2020-04-24 11:57:36,2020-04-24,5,163,295,8,3,5,95,227,8,REGION VI (WESTERN VISAYAS),PH060000000,AKLAN,PH060400000,MALAY,PH060412000,11.903971,121.925603
DOH000000000000640,2301,MALAY MUNICIPAL HOSPITAL,2020-05-01 8:49:12,2020-05-01 8:49:12,2020-05-01,5,150,220,5,5,5,90,205,10,REGION VI (WESTERN VISAYAS),PH060000000,AKLAN,PH060400000,MALAY,PH060412000,11.903971,121.925603
DOH000000000000640,4923,MALAY MUNICIPAL HOSPITAL,2020-05-09 8:19:21,2020-05-09 8:19:21,2020-05-09,50,140,150,50,50,50,120,300,50,REGION VI (WESTERN VISAYAS),PH060000000,AKLAN,PH060400000,MALAY,PH060412000,11.903971,121.925603
DOH000000000000640,5461,MALAY MUNICIPAL HOSPITAL,2020-05-15 9:06:51,2020-05-15 9:06:51,2020-05-15,50,170,100,30,50,50,110,320,50,REGION VI (WESTERN VISAYAS),PH060000000,AKLAN,PH060400000,MALAY,PH060412000,11.903971,121.925603
DOH000000000000640,7294,MALAY MUNICIPAL HOSPITAL,2020-05-22 10:07:53,2020-05-22 10:07:53,2020-05-22,55,240,100,40,60,60,120,350,70,REGION VI (WESTERN VISAYAS),PH060000000,AKLAN,PH060400000,MALAY,PH060412000,11.903971,121.925603
DOH000000000000641,1966,MALAYBALAY MEDICAL HOSPITAL CARE,2020-04-25 15:22:38,2020-04-25 15:22:38,2020-04-25,5,200,0,10,5,0,4,100,50,REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,CITY OF MALAYBALAY (Capital),PH101312000,8.15223,125.12931
DOH000000000000641,2434,MALAYBALAY MEDICAL HOSPITAL CARE,2020-05-01 9:38:28,2020-05-01 9:38:28,2020-05-01,12,200,10,10,2,10,4,100,50,REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,CITY OF MALAYBALAY (Capital),PH101312000,8.15223,125.12931
DOH000000000000641,4009,MALAYBALAY MEDICAL HOSPITAL CARE,2020-05-08 10:09:54,2020-05-08 10:09:54,2020-05-08,14,150,10,10,2,10,6,90,50,REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,CITY OF MALAYBALAY (Capital),PH101312000,8.15223,125.12931
DOH000000000000641,5801,MALAYBALAY MEDICAL HOSPITAL CARE,2020-05-15 11:23:06,2020-05-15 11:23:06,2020-05-15,14,10,10,10,2,10,6,90,50,REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,CITY OF MALAYBALAY (Capital),PH101312000,8.15223,125.12931
DOH000000000000641,7672,MALAYBALAY MEDICAL HOSPITAL CARE,2020-05-22 13:19:41,2020-05-22 13:19:41,2020-05-22,5,700,3,0,5,3,3,350,0,REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,CITY OF MALAYBALAY (Capital),PH101312000,8.15223,125.12931
DOH000000000000642,205,"MALAYBALAY POLYMEDIC GENERAL HOSPITAL, INC.",2020-04-17 12:04:47,2020-04-17 12:04:47,2020-04-17,40,14000,2135,14,33,7,115,304,11,REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,CITY OF MALAYBALAY (Capital),PH101312000,8.1485205,125.1319122
DOH000000000000642,2464,"MALAYBALAY POLYMEDIC GENERAL HOSPITAL, INC.",2020-05-01 9:50:44,2020-05-01 9:50:44,2020-05-01,20,4531,1634,14,34,13,127,12,11,REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,CITY OF MALAYBALAY (Capital),PH101312000,8.1485205,125.1319122
DOH000000000000642,3811,"MALAYBALAY POLYMEDIC GENERAL HOSPITAL, INC.",2020-05-08 8:55:20,2020-05-08 8:55:20,2020-05-08,75,4831,1934,34,38,323,127,300,31,REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,CITY OF MALAYBALAY (Capital),PH101312000,8.1485205,125.1319122
DOH000000000000642,5568,"MALAYBALAY POLYMEDIC GENERAL HOSPITAL, INC.",2020-05-15 9:47:08,2020-05-15 9:47:08,2020-05-15,155,776,11608,34,38,423,177,759,31,REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,CITY OF MALAYBALAY (Capital),PH101312000,8.1485205,125.1319122
DOH000000000000642,7330,"MALAYBALAY POLYMEDIC GENERAL HOSPITAL, INC.",2020-05-22 10:24:26,2020-05-22 10:24:26,2020-05-22,155,8822,11249,34,38,423,177,5476,31,REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,CITY OF MALAYBALAY (Capital),PH101312000,8.1485205,125.1319122
DOH000000000000642,769,"MALAYBALAY POLYMEDIC GENERAL HOSPITAL, INC.",2020-04-24 7:59:43,2020-04-24 7:59:43,2020-04-24,20,7070,1876,14,33,13,127,121,330,REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,CITY OF MALAYBALAY (Capital),PH101312000,8.1485205,125.1319122
DOH000000000000643,1056,MALIMONO DISTRICT HOSPITAL,2020-04-24 10:06:07,2020-04-24 10:06:07,2020-04-24,0,150,10,3,0,8,20,100,10,REGION XIII (CARAGA),PH160000000,SURIGAO DEL NORTE,PH166700000,MALIMONO,PH166715000,9.6231015,125.4006092
